doi,volume,year,author_position,author_name,author_orcid,openalex_author_id,institutions,countries
10.5281/zenodo.18215326,42,2026,first,Takaaki Fujita,,https://openalex.org/A5122749570,,
10.5281/zenodo.18217066,42,2026,first,Freddy Rodrigo Puedma Acaro,,https://openalex.org/A5122834922,Universidad Estatal de Bolívar|University of Guayaquil,EC
10.5281/zenodo.18227662,42,2026,first,Maico Alexander Almeida Almeida,,https://openalex.org/A5122971135,University of Guayaquil|Universidad Estatal de Bolívar,EC
10.5281/zenodo.18227671,42,2026,first,Takaaki Fujita,,https://openalex.org/A5122917871,,
10.5281/zenodo.18276658,42,2026,first,Josué Abraham Guillén Bobadilla,,https://openalex.org/A5123259009,University of Guayaquil,EC
10.5281/zenodo.18276679,42,2026,first,Ing. Jonathan Kenny Vera Macias,,https://openalex.org/A5123252585,Universidad Bolivariana del Ecuador,EC
10.5281/zenodo.18276695,42,2026,first,Fernando Eduardo Alvarado Véliz,,https://openalex.org/A5123287339,"Universidad Estatal de Bolívar|""Hadji Dimitar"" Hospital|Universidad Agraria del Ecuador",BG|EC
10.5281/zenodo.18294361,42,2026,first,Ing. Bradley Corro,,https://openalex.org/A5123283554,Universidad Bolivariana del Ecuador,EC
10.5281/zenodo.18294378,42,2026,first,Juan José Calle De La A,,https://openalex.org/A5123278824,Universidad Bolivariana del Ecuador,EC
10.5281/zenodo.18307265,42,2026,first,Maikel Leyva,,https://openalex.org/A5107884004,University of Guayaquil,EC
10.5281/zenodo.18330231,42,2026,first,Evelyn Esthefani Checa Infante,,https://openalex.org/A5123537615,Portuguese School of Bank Management,PT
10.5281/zenodo.18331786,42,2026,first,Yismandry González Vargas,,https://openalex.org/A5121147176,University of Holguín,CU
10.5281/zenodo.18331786,42,2026,last,Diana Padrón Carrasco,,https://openalex.org/A5121209372,Universidad de Ciego de Ávila,CU
10.5281/zenodo.18344126,42,2026,first,Maykel Yelandy Leyva Vázquez,,https://openalex.org/A5123683729,University of Guayaquil,EC
10.5281/zenodo.18354703,42,2026,first,Guillermo Fernando Barreto Aimacaña,,https://openalex.org/A5123697140,Universidad Bolivariana del Ecuador,EC
10.5281/zenodo.18905639,42,2026,first,Jean Carlos Castro Barrera,,https://openalex.org/A5128294983,Universidad Estatal de Bolívar,EC
10.5281/zenodo.18905639,42,2026,middle,Alexis Adrián Ramírez Lara,,https://openalex.org/A5128281130,Universidad Estatal de Bolívar,EC
10.5281/zenodo.18905639,42,2026,middle,Glen Freddy Robayo Cabrera,,https://openalex.org/A5128319239,"""Hadji Dimitar"" Hospital|Universidad Bolivariana del Ecuador",BG
10.5281/zenodo.18905639,42,2026,last,Aviles Quiñonez Willian Paul,,https://openalex.org/A5128299316,Universidad Bolivariana del Ecuador,EC
10.5281/zenodo.18932284,42,2026,first,Jenny Natalia Cortez Gavilanez,,https://openalex.org/A5128650913,Universidad Bolivariana del Ecuador,EC
10.5281/zenodo.18932300,42,2026,first,Javier Antonio Rubio Toaza,,https://openalex.org/A5128688841,Universidad Bolivariana del Ecuador,EC
10.5281/zenodo.18932322,42,2026,first,Dalton Andrés Pazmiño Pérez,,https://openalex.org/A5128642553,University of Guayaquil|Universidad Estatal de Bolívar,EC
10.5281/zenodo.18905720,42,2026,first,Cruz Veronica Cruz Veronica Ponce Alvarez,,https://openalex.org/A5128373738,Universidad Estatal del Sur de Manabi,EC
10.5281/zenodo.18905720,42,2026,last,Marcela Elizabeth Mora Pin,,https://openalex.org/A5128375538,Universidad Estatal del Sur de Manabi,EC
10.5281/zenodo.18215326,42,2026,first,Takaaki Fujita,,https://openalex.org/A5122749570,,
10.5281/zenodo.18991384,42,2026,first,Ginger Elizabeth Salazar Pin,,https://openalex.org/A5128836385,Universidad Estatal del Sur de Manabi,EC
10.5281/zenodo.18991384,42,2026,last,Monica Virginia Choez Pérez,,https://openalex.org/A5128918758,Universidad Estatal del Sur de Manabi,EC
10.5281/zenodo.18991653,42,2026,first,Gloria Pascuala Chiquito Tigua,,https://openalex.org/A5128905213,Universidad Estatal del Sur de Manabi,EC
10.5281/zenodo.18991653,42,2026,last,Yagual Jaime Suying Nicoll,,https://openalex.org/A5128873871,Universidad Estatal del Sur de Manabi,EC
10.5281/zenodo.19075590,42,2026,first,Elio Jorge Fischer Romero,,https://openalex.org/A5129717691,Universidad Estatal de Bolívar|Universidad Bolivariana del Ecuador,EC
10.5281/zenodo.19078554,42,2026,first,Almeida Almeida Maico Alexander,,https://openalex.org/A5129794593,University of Guayaquil|Universidad Estatal de Bolívar,EC
10.5281/zenodo.19078832,42,2026,first,Janner Steeven Guagua Alcivar,,https://openalex.org/A5129838909,Universidad Bolivariana del Ecuador,EC
10.5281/zenodo.19080256,42,2026,first,Lady Nicole Guaranga Naranjo,,https://openalex.org/A5130161394,Universidad Pontificia Bolivariana|Bolivarian University of Venezuela,CO|VE
10.5281/zenodo.19080474,42,2026,first,Vilma Monserrat Cabrera Frias,,https://openalex.org/A5129898963,Central University of Ecuador,EC
10.5281/zenodo.17247347,41,2025,first,"Fujita, Takaaki",,,,
10.5281/zenodo.17247940,41,2025,first,"Maturell Aguilera, Araíz",,,University of Holguín,CU
10.5281/zenodo.17254692,41,2025,first,"Giler Zambrano, Rosa Cristina",,,Universidad Estatal de Bolívar,EC
10.5281/zenodo.17254700,41,2025,first,"Fujita, Takaaki",,,,
10.5281/zenodo.17263068,41,2025,first,"Vera Macias, Jonathan",,,Bolivarian University of Venezuela,VE
10.5281/zenodo.17373916,41,2025,first,"Atiencie Gutiérrez1, María Leonor",,,University of Guayaquil,EC
10.5281/zenodo.17374286,41,2025,first,"Sarango Ramos, Byron Leonardo",,,Departamento de Educación,ES
10.5281/zenodo.17402872,41,2025,first,"Smarandache, Florentin",,,Universidad Autónoma de Nuevo León,MX
10.5281/zenodo.17459985,41,2025,first,"Pando Farez, Johanna Maribel",,,Universidad Estatal de Bolívar,EC
10.5281/zenodo.17586126,41,2025,first,"Fujita, Takaaki",,,,
10.5281/zenodo.17586150,41,2025,first,"Varela Lozano, Victor",,,Universidad Bolivariana del Ecuador,EC
10.5281/zenodo.17586163,41,2025,first,"Fujita, Takaaki",,,,
10.5281/zenodo.17586185,41,2025,first,"Maikel Leyva Vázquez, Maikel",,,University of Guayaquil,EC
10.5281/zenodo.17613979,41,2025,first,"Villarreal Valencia, Andrés",,,Universidad Andina Simón Bolívar|Central University of Ecuador,EC
10.5281/zenodo.17636297,41,2025,first,"Morillo Cabrera, Natasha Jasmin",,,Bolivarian University of Venezuela,VE
10.5281/zenodo.17643966,41,2025,first,"Guilart Caisés, Ernesto",,,University of Holguín,CU
10.5281/zenodo.17666223,41,2025,first,"Asanza Espinoza, Janeth Del Carmen",,,University of Guayaquil,EC
10.5281/zenodo.17666731,41,2025,first,"Rodriguez, M.",,,Bolivarian University of Venezuela,VE
10.5281/zenodo.17694557,41,2025,first,"Lara Espinoza, Ginger Marilu",,,Universidad Estatal de Bolívar,EC
10.5281/zenodo.17797086,41,2025,first,"Meneses Álvarez., Dra. Sara",,,Pontificia Universidad Católica del Ecuador,EC
10.5281/zenodo.17874364,41,2025,first,"Smarandache, Florentin",,,Universidad Autónoma de Nuevo León,MX
10.5281/zenodo.17970201,41,2025,first,"Saa-Litardo, Erick Alfredo",,,Bolivarian University of Venezuela|Universidad Estatal de Bolívar|Universidad Andina Simón Bolívar,EC|VE
10.5281/zenodo.18041589,41,2025,first,Andrea Mariel Malavé Gómez,,https://openalex.org/A5121296395,Universidad Estatal de Milagro,EC
10.5281/zenodo.18041986,41,2025,first,Ely Stefanie Parra Tauriz,,https://openalex.org/A5121297664,Universidad Bolivariana del Ecuador,EC
10.5281/zenodo.18193776,41,2025,first,Alfonso A. Guijarro-Rodríguez,,https://openalex.org/A5122552155,University of Guayaquil,EC
10.5281/zenodo.18209831,41,2025,first,Isaías Rafael Sandoya Vargas,,https://openalex.org/A5122728110,Universidad Bolivariana del Ecuador,EC
10.5281/zenodo.18209841,41,2025,first,Luis Dominguez,,https://openalex.org/A5122723198,Universidad Estatal de Bolívar|Bolivarian University of Venezuela,EC|VE
10.5281/zenodo.18215326,42,2026,first,Takaaki Fujita,,https://openalex.org/A5122749570,,
10.54216/ijns.150203,39,2025,first,Florentín Smarandache,0000-0002-5560-5926,https://openalex.org/A5012703845,,
10.5281/zenodo.3558988,11,2020,first,"Moran, Francisco José Cedeño",,,,
10.5281/zenodo.3558988,11,2020,middle,"Sánchez, María Patricia Marcillo",,,,
10.5281/zenodo.3558988,11,2020,middle,Lugio David Roman Barrezueta,,,,
10.5281/zenodo.3558988,11,2020,last,"Avilés, Christian Nahum Martillo",,,,
10.5281/zenodo.3558988,10,2019,first,"Moran, Francisco José Cedeño",,,,
10.5281/zenodo.3558988,10,2019,middle,"Sánchez, María Patricia Marcillo",,,,
10.5281/zenodo.3558988,10,2019,middle,Lugio David Roman Barrezueta,,,,
10.5281/zenodo.3558988,10,2019,last,"Avilés, Christian Nahum Martillo",,,,
10.5281/zenodo.2636721,6,2019,first,Ricardo González Labrada,,https://openalex.org/A5074081680,"Hospital Oncológico Docente ""Conrado Benítez García""|University of Holguín",CU
10.5281/zenodo.2636721,6,2019,last,Raúl Más Rodés,,https://openalex.org/A5076476625,"Hospital Oncológico Docente ""Conrado Benítez García""|University of Holguín",CU
10.5281/zenodo.2636726,6,2019,first,Larissa Pineda López,,https://openalex.org/A5019463468,Centro de Innovación Aplicada en Tecnologías Competitivas|International Center for Tropical Agriculture,CO
10.5281/zenodo.2636726,6,2019,last,Stella Cristóbal,,https://openalex.org/A5032241739,Laboratorio Tecnológico del Uruguay|Universidad ORT Uruguay,UY
10.5281/zenodo.2636735,6,2019,first,Larissa Pineda López,,https://openalex.org/A5019463468,Centro de Innovación Aplicada en Tecnologías Competitivas,
10.5281/zenodo.2636742,6,2019,first,Frank Michel Enrique Hevia,,https://openalex.org/A5091306363,Universidad de Ciencias Pedagógicas Enrique José Varona,CU
10.5281/zenodo.2636742,6,2019,middle,Wilber Ortiz Aguilar,0000-0002-7323-6589,https://openalex.org/A5062182119,University of Havana,CU
10.5281/zenodo.2636742,6,2019,last,Marlys Peña Álvarez,,https://openalex.org/A5071194540,Universidad de Ciencias Pedagógicas Enrique José Varona,CU
10.5281/zenodo.2636750,6,2019,first,Maely Ramírez Rodríguez,0000-0001-7604-0074,https://openalex.org/A5015690683,Universidad de Ciencias Médicas de Pinar del Río,CU
10.5281/zenodo.2636750,6,2019,middle,Maribel Cruz Ortiz,0000-0003-3781-9856,https://openalex.org/A5103071093,Universidad de Ciencias Médicas de Pinar del Río|Universidad de Ciencias Medicas,CR
10.5281/zenodo.2636750,6,2019,middle,María de la Caridad Casanova Moreno,,https://openalex.org/A5113723647,Universidad de Ciencias Médicas de Pinar del Río|Universidad de Ciencias Medicas,CR
10.5281/zenodo.2636750,6,2019,middle,Esther Izquierdo Machín,0000-0002-7889-1814,https://openalex.org/A5071097519,Universidad de Ciencias Médicas de la Habana,CU
10.5281/zenodo.2636750,6,2019,last,Yuday Morejón Rosales,0000-0003-2996-413X,https://openalex.org/A5027489288,,
10.5281/zenodo.2636758,6,2019,first,Hugo Arnaldo Martínez Noriega,0000-0003-4303-5185,https://openalex.org/A5062522851,University of Information Science,CU
10.5281/zenodo.2576163,5,2019,first,Daylin Hernández Prieto,,,,
10.5281/zenodo.2576163,5,2019,middle,Maydelis Crusá Lorenzo,,,,
10.5281/zenodo.2576163,5,2019,middle,Alexande Rodríguez,,,,
10.5281/zenodo.2576163,5,2019,last,Neilys González Benítez,,,,
10.5281/zenodo.2576161,5,2019,first,Lexander Guerrero Morales,,,,
10.5281/zenodo.2576161,5,2019,middle,"Ventura, Ricardo Walfrido Proenza",,,,
10.5281/zenodo.2576161,5,2019,last,"González, Amalia Hernández",,,,
10.5281/zenodo.2576157,5,2019,first,"Ventura, Ricardo Walfrido Proenza",,,,
10.5281/zenodo.2576157,5,2019,middle,Alier Proenza Verdecia,,,,
10.5281/zenodo.2576157,5,2019,last,"González, Amalia Hernández",,,,
10.5281/zenodo.2576153,5,2019,first,Neilys González Benítez,,,,
10.5281/zenodo.2576153,5,2019,middle,"Rosa, César Barrionuevo De La",,,,
10.5281/zenodo.2576153,5,2019,middle,"Bolaños, Brenda Cárdenas",,,,
10.5281/zenodo.2576153,5,2019,middle,"Echeverría, Hugo Cárdenas",,,,
10.5281/zenodo.2576153,5,2019,middle,"Padilla, Roddy Cabezas",,,,
10.5281/zenodo.2576153,5,2019,last,"Vázquez, Maikel Leyva",,,,
10.5281/zenodo.2576149,5,2019,first,Neilys González Benítez,,,,
10.5281/zenodo.2576166,5,2019,first,"Segura, Carmen León",,,,
10.5281/zenodo.2576166,5,2019,last,Ismel Bravo Placeres,,,,
10.5281/zenodo.2140877,4,2018,first,"Smarandache, Florentin",,,,
10.5281/zenodo.2140695,4,2018,first,"González Benítez, Neilys",,,,
10.5281/zenodo.2140695,4,2018,middle,"Martínez Hernández, Aliosky",,,,
10.5281/zenodo.2140695,4,2018,last,"Leyva Vázquez, Maikel",,,,
10.5281/zenodo.2139584,4,2018,first,Maikel Leyva Vázquez,0000-0001-7911-5879,https://openalex.org/A5047918385,,
10.5281/zenodo.2139584,4,2018,last,Florentín Smarandache,0000-0002-5560-5926,https://openalex.org/A5012703845,,
10.5281/zenodo.2140533,4,2018,first,"Grimaldo Lorente, Carlos G.",,,,
10.5281/zenodo.2140533,4,2018,middle,"Hugo Lucero, Víctor",,,,
10.5281/zenodo.2140533,4,2018,middle,"Chulde, Marco",,,,
10.5281/zenodo.2140533,4,2018,last,"Cadena, Jaime",,,,
10.5281/zenodo.2140337,4,2018,first,"Iglesias Quintana, Janneth Ximena",,,,
10.5281/zenodo.2140337,4,2018,middle,"Jiménez Montenegro, Milton",,,,
10.5281/zenodo.2140337,4,2018,middle,"Machado Maliza, Mesías Elias",,,,
10.5281/zenodo.2140337,4,2018,last,"Cangas Oña, Ximena",,,,
10.5281/zenodo.2140981,4,2018,first,"Andino Herrera, Alexandra",,,,
10.5281/zenodo.2140981,4,2018,middle,"Cuenca Díaz, Maritza",,,,
10.5281/zenodo.2140981,4,2018,middle,"Paronyan, Hayk",,,,
10.5281/zenodo.2140981,4,2018,last,"Murillo, Viviana",,,,
10.5281/zenodo.1490425,3,2018,first,Florentín Smarandache,0000-0002-5560-5926,https://openalex.org/A5012703845,Universidad Autónoma de Nuevo León,MX
10.5281/zenodo.1467229,2,2018,first,Rebeca Escobar Jara,,https://openalex.org/A5024186847,,
10.5281/zenodo.1467229,2,2018,middle,Maikel Leyva Vázquez,0000-0001-7911-5879,https://openalex.org/A5047918385,,
10.5281/zenodo.1467229,2,2018,last,Cesar Ernesto Roldan Martínez,,https://openalex.org/A5009739673,,
10.5281/zenodo.1254944,1,2018,first,Maikel Leyva Vázquez,0000-0001-7911-5879,https://openalex.org/A5047918385,,
10.5281/zenodo.1254944,1,2018,middle,Rebeca Escobar-Jara,,https://openalex.org/A5057878002,,
10.5281/zenodo.1254944,1,2018,last,Florentín Smarandache,0000-0002-5560-5926,https://openalex.org/A5012703845,,
10.5281/zenodo.1254940,1,2018,first,Roddy Cabezas Padilla,,https://openalex.org/A5050616077,,
10.5281/zenodo.1254940,1,2018,middle,José González Ruiz,,https://openalex.org/A5046888320,,
10.5281/zenodo.1254940,1,2018,middle,Milton Villegas Alava,,https://openalex.org/A5008051438,,
10.5281/zenodo.1254940,1,2018,last,Maikel Leyva Vázquez,0000-0001-7911-5879,https://openalex.org/A5047918385,,
